mouse_name,trials_date,date,eid,mouse_age,dob,age_at_recording_computed,age_at_start_computed,lab
KS051,2021-02-17,2021-05-11,0a018f12-ee06-4b11-97aa-bbbff5448e9f,168,2020-11-24,168.0,85.0,cortexlab
KS052,2021-02-18,2021-05-13,ac7d3064-7f09-48a3-88d2-e86a4eb86461,170,2020-11-24,170.0,86.0,cortexlab
KS055,2021-02-22,2021-05-02,b22f694e-4a34-4142-ab9d-2556c3487086,159,2020-11-24,159.0,90.0,cortexlab
KS084,2021-11-18,2022-01-31,1b715600-0cbc-442c-bd00-5b0ac2865de1,167,2021-08-17,167.0,93.0,cortexlab
KS086,2021-11-19,2022-03-15,e45481fa-be22-4365-972c-e7404ed8ab5a,210,2021-08-17,210.0,94.0,cortexlab
KS091,2022-03-17,2022-07-04,78b4fff5-c5ec-44d9-b5f9-d59493063f00,202,2021-12-14,202.0,93.0,cortexlab
KS094,2022-04-11,2022-06-15,6b0b5d24-bcda-4053-a59c-beaa1fe03b8f,134,2022-02-01,134.0,69.0,cortexlab
KS096,2022-04-26,2022-06-15,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,134,2022-02-01,134.0,84.0,cortexlab
MFD_05,2023-05-22,2023-08-15,7dd27c2f-9544-448d-918d-be0f9837b0e0,168,2023-02-28,168.0,83.0,churchlandlab_ucla
MFD_06,2023-05-22,2023-08-22,35eeb752-8f4f-4040-9714-ba0f5b7ccdfe,175,2023-02-28,175.0,83.0,churchlandlab_ucla
MFD_07,2023-05-22,2023-08-31,15b69921-d471-4ded-8814-2adad954bcd8,184,2023-02-28,184.0,83.0,churchlandlab_ucla
MFD_08,2023-05-22,2023-09-07,5ae68c54-2897-4d3a-8120-426150704385,191,2023-02-28,191.0,83.0,churchlandlab_ucla
MFD_09,2023-05-22,2023-10-19,ebce500b-c530-47de-8cb1-963c552703ea,233,2023-02-28,233.0,83.0,churchlandlab_ucla
NR_0017,2021-10-22,2022-03-22,e6043c7d-8f6e-4b66-8309-2ec0abac0f79,429,2021-01-17,429.0,278.0,steinmetzlab
NR_0019,2022-01-18,2022-04-29,9b528ad0-4599-4a55-9148-96cc1d93fb24,271,2021-08-01,271.0,170.0,steinmetzlab
NR_0020,2022-01-30,2022-05-08,3e6a97d3-3991-49e2-b346-6948cb4580fb,235,2021-09-15,235.0,137.0,steinmetzlab
NR_0021,2022-03-23,2022-06-28,27ef44c0-acb2-4220-b776-477d0d5abd35,228,2021-11-12,228.0,131.0,steinmetzlab
NR_0024,2022-06-02,2023-01-19,3bcb81b4-d9ca-4fc9-a1cd-353a966239ca,442,2021-11-03,442.0,211.0,steinmetzlab
NR_0027,2022-06-02,2022-08-19,6c6b0d06-6039-4525-a74b-58cfaa1d3a60,169,2022-03-03,169.0,91.0,steinmetzlab
NR_0028,2023-01-23,2023-03-07,5c0c560e-9e1f-45e9-b66e-e4ee7855be84,272,2022-06-08,272.0,229.0,steinmetzlab
NR_0029,2023-03-10,2023-08-30,e6594a5b-552c-421a-b376-1a1baa9dc4fd,196,2023-02-15,196.0,23.0,steinmetzlab
NR_0031,2023-04-15,2023-07-12,642c97ea-fe89-4ec9-8629-5e492ea4019d,224,2022-11-30,224.0,136.0,steinmetzlab
NYU-11,2019-10-14,2020-02-21,56956777-dca5-468c-87cb-78150432cc57,213,2019-07-23,213.0,83.0,angelakilab
NYU-12,2019-10-30,2020-01-20,4364a246-f8d7-4ce7-ba23-a098104b96e4,146,2019-08-27,146.0,64.0,angelakilab
NYU-21,2020-03-04,2020-08-13,8c33abef-3d3e-4d42-9f27-445e9def08f9,226,2019-12-31,226.0,64.0,angelakilab
NYU-30,2020-07-17,2020-10-21,5569f363-0934-464e-9a5b-77c8e67791a1,155,2020-05-19,155.0,59.0,angelakilab
NYU-37,2020-11-12,2021-01-25,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,147,2020-08-31,147.0,73.0,angelakilab
NYU-39,2021-02-11,2021-05-10,6ed57216-498d-48a6-b48b-a243a34710ea,153,2020-12-08,153.0,65.0,angelakilab
NYU-45,2021-04-26,2021-07-19,51e53aff-1d5d-4182-a684-aba783d50ae5,167,2021-02-02,167.0,83.0,angelakilab
NYU-46,2021-04-26,2021-06-23,72982282-e493-45ee-87ce-aa45cb3a3ec1,141,2021-02-02,141.0,83.0,angelakilab
NYU-47,2021-04-26,2021-06-24,288bfbf3-3700-4abe-b6e4-130b5c541e61,142,2021-02-02,142.0,83.0,angelakilab
NYU-48,2021-05-03,2021-06-29,a405053a-eb13-4aa4-850c-5a337e5dc7fd,128,2021-02-21,128.0,71.0,angelakilab
NYU-65,2022-08-05,2022-09-12,a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e,132,2022-05-03,132.0,94.0,angelakilab
PL015,2021-06-23,2022-02-20,64977c74-9c04-437a-9ea1-50386c4996db,281,2021-05-15,281.0,39.0,hausserlab
PL016,2021-07-12,2022-01-17,58c4bf97-ec3b-45b4-9db4-d5d9515d5b00,264,2021-04-28,264.0,75.0,hausserlab
PL017,2021-07-06,2021-11-07,10fac7a1-919d-4ca7-83c4-4675bd8d9416,176,2021-05-15,176.0,52.0,hausserlab
PL030,2021-12-14,2022-10-06,2038e95d-64d4-4ecb-83d0-1308d3c598f8,342,2021-10-29,342.0,46.0,hausserlab
PL031,2021-12-19,2022-11-15,ef38e503-dd79-4185-bf87-4712d4f274fe,368,2021-11-12,368.0,37.0,hausserlab
PL033,2021-12-19,2022-10-05,4546cd60-fa2a-4d20-a9b6-d091e01d16f2,327,2021-11-12,327.0,37.0,hausserlab
PL034,2022-09-06,2022-10-18,87ad026d-5b95-4022-8d59-c260870d830f,115,2022-06-25,115.0,73.0,hausserlab
PL035,2022-09-05,2023-04-12,a2b9fbbe-79fc-4166-a16e-b307813a2f06,285,2022-07-01,285.0,66.0,hausserlab
PL037,2022-09-05,2023-04-06,d23b005f-46f5-4fe1-870c-f55f6eb9533d,279,2022-07-01,279.0,66.0,hausserlab
PL050,2023-04-03,2023-06-05,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,111,2023-02-14,111.0,48.0,hausserlab
SWC_029,2019-11-18,2020-10-05,f31752a8-a6bb-498b-8118-6339d3d74ecb,416,2019-08-16,416.0,94.0,mrsicflogellab
SWC_038,2020-02-17,2020-07-30,4d8c7767-981c-4347-8e5e-5d5fffe38534,232,2019-12-11,232.0,68.0,mrsicflogellab
SWC_042,2020-02-29,2020-07-13,66d98e6e-bcd9-4e78-8fbb-636f7e808b29,215,2019-12-11,215.0,80.0,hoferlab
SWC_043,2020-03-02,2020-09-15,f3ce3197-d534-4618-bf81-b687555d1883,279,2019-12-11,279.0,82.0,hoferlab
SWC_052,2020-07-20,2020-10-17,45ef6691-7b80-4a43-bd1a-85fc00851ae8,158,2020-05-12,158.0,69.0,mrsicflogellab
SWC_054,2020-07-20,2020-10-05,56b57c38-2699-4091-90a8-aba35103155e,146,2020-05-12,146.0,69.0,mrsicflogellab
SWC_058,2020-10-21,2020-12-07,3638d102-e8b6-4230-8742-e548cd87a949,132,2020-07-28,132.0,85.0,mrsicflogellab
SWC_060,2020-10-22,2020-11-24,dac3a4c1-b666-4de0-87e8-8c514483cacf,119,2020-07-28,119.0,86.0,hoferlab
SWC_061,2020-10-22,2020-11-23,493170a6-fd94-4ee4-884f-cc018c17eeb9,118,2020-07-28,118.0,86.0,hoferlab
SWC_066,2022-03-18,2022-04-28,a4747ac8-6a75-444f-b99b-696fff0243fd,93,2022-01-25,93.0,52.0,hoferlab
UCLA005,2021-04-26,2021-08-02,d57df551-6dcb-4242-9c72-b806cff5613a,181,2021-02-02,181.0,83.0,churchlandlab_ucla
UCLA006,2021-04-26,2021-12-08,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,309,2021-02-02,309.0,83.0,churchlandlab_ucla
UCLA011,2021-04-26,2021-07-20,824cf03d-4012-4ab1-b499-c83a92c5589e,168,2021-02-02,168.0,83.0,churchlandlab_ucla
UCLA012,2021-04-26,2021-07-07,1f095590-6669-46c9-986b-ccaf0620c5e9,155,2021-02-02,155.0,83.0,churchlandlab_ucla
UCLA014,2021-06-04,2021-08-18,03d9a098-07bf-4765-88b7-85f8d8f620cc,155,2021-03-16,155.0,80.0,churchlandlab_ucla
UCLA015,2021-06-04,2022-03-31,0c828385-6dd6-4842-a702-c5075f5f5e81,380,2021-03-16,380.0,80.0,churchlandlab_ucla
UCLA017,2021-06-04,2021-11-16,bb099402-fb31-4cfd-824e-1c97530a0875,245,2021-03-16,245.0,80.0,churchlandlab_ucla
UCLA033,2021-11-01,2022-02-15,111c1762-7908-47e0-9f40-2f2ee55b6505,224,2021-07-06,224.0,118.0,churchlandlab_ucla
UCLA034,2021-11-24,2022-01-25,8a3a0197-b40a-449f-be55-c00b23253bbf,181,2021-07-28,181.0,119.0,churchlandlab_ucla
UCLA035,2021-11-24,2022-02-18,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,205,2021-07-28,205.0,119.0,churchlandlab_ucla
UCLA036,2021-11-24,2022-03-09,e2b845a1-e313-4a08-bc61-a5f662ed295e,224,2021-07-28,224.0,119.0,churchlandlab_ucla
UCLA037,2021-11-24,2022-02-02,2bdf206a-820f-402f-920a-9e86cd5388a4,189,2021-07-28,189.0,119.0,churchlandlab_ucla
UCLA044,2022-01-07,2022-04-14,91bac580-76ed-41ab-ac07-89051f8d7f6e,177,2021-10-19,177.0,80.0,churchlandlab_ucla
UCLA048,2022-04-15,2022-08-16,dc962048-89bb-4e6a-96a9-b062a2be1426,245,2021-12-14,245.0,122.0,churchlandlab_ucla
UCLA049,2022-04-15,2022-08-02,0841d188-8ef2-4f20-9828-76a94d5343a4,231,2021-12-14,231.0,122.0,churchlandlab_ucla
UCLA052,2022-04-15,2022-07-12,687017d4-c9fc-458f-a7d5-0979fe1a7470,210,2021-12-14,210.0,122.0,churchlandlab_ucla
ZFM-01576,2020-09-03,2020-12-01,c4432264-e1ae-446f-8a07-6280abade813,189,2020-05-26,189.0,100.0,mainenlab
ZFM-01577,2020-09-03,2020-10-28,09b2c4d1-058d-4c84-9fd4-97530f85baf6,155,2020-05-26,155.0,100.0,mainenlab
ZFM-01592,2020-09-16,2020-10-20,746d1902-fa59-4cab-b0aa-013be36060d5,128,2020-06-14,128.0,94.0,mainenlab
ZFM-01935,2020-11-26,2021-02-03,1a507308-c63a-4e02-8f32-3239a07dc578,164,2020-08-23,164.0,95.0,mainenlab
ZFM-01936,2020-11-26,2021-01-19,d0ea3148-948d-4817-94f8-dcaf2342bbbe,149,2020-08-23,149.0,95.0,mainenlab
ZFM-01937,2020-11-26,2021-04-08,113c5b6c-940e-4b21-b462-789b4c2be0e5,228,2020-08-23,228.0,95.0,mainenlab
ZFM-02368,2021-03-17,2021-06-01,a4a74102-2af5-45dc-9e41-ef7f5aed88be,163,2020-12-20,163.0,87.0,mainenlab
ZFM-02369,2021-03-17,2021-05-19,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,150,2020-12-20,150.0,87.0,mainenlab
ZFM-02370,2021-03-17,2021-04-27,d0c91c3c-8cbb-4929-8657-31f18bffc294,128,2020-12-20,128.0,87.0,mainenlab
ZFM-02372,2021-03-17,2021-06-01,88224abb-5746-431f-9c17-17d7ef806e6a,163,2020-12-20,163.0,87.0,mainenlab
ZFM-02373,2021-03-17,2021-06-23,0802ced5-33a3-405e-8336-b65ebc5cb07c,185,2020-12-20,185.0,87.0,mainenlab
ZFM-04308,2022-02-21,2022-07-26,239dd3c9-35f3-4462-95ee-91b822a22e6b,236,2021-12-02,236.0,81.0,mainenlab
ZM_1897,2019-09-17,2019-12-02,dd4da095-4a99-4bf3-9727-f735077dba66,175,2019-06-10,175.0,99.0,mainenlab
ZM_2240,2019-11-19,2020-01-21,d33baf74-263c-4b37-a0d0-b79dcb80a764,162,2019-08-12,162.0,99.0,mainenlab
ZM_2241,2019-11-19,2020-01-27,ff4187b5-4176-4e39-8894-53a24b7cf36b,168,2019-08-12,168.0,99.0,mainenlab
ZM_2245,2019-11-19,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,162,2019-08-12,162.0,99.0,mainenlab
ZM_3003,2020-02-11,2020-07-27,934dd7a4-fbdc-459c-8830-04fe9033bc28,260,2019-11-10,260.0,93.0,mainenlab
ibl_witten_13,2019-08-08,2019-11-26,5139ce2c-7d52-44bf-8129-692d61dd6403,217,2019-04-23,217.0,107.0,wittenlab
ibl_witten_17,2020-02-20,2020-07-22,d832d9f7-c96a-4f63-8921-516ba4a7b61f,252,2019-11-13,252.0,99.0,wittenlab
ibl_witten_18,2020-02-20,2020-09-01,cae5cd75-55e5-4277-8db3-cf4d6c5ff918,293,2019-11-13,293.0,99.0,wittenlab
ibl_witten_19,2020-02-20,2020-07-21,4ddb8a95-788b-48d0-8a0a-66c7c796da96,251,2019-11-13,251.0,99.0,wittenlab
ibl_witten_20,2020-02-20,2020-09-03,a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,295,2019-11-13,295.0,99.0,wittenlab
ibl_witten_26,2020-10-08,2021-01-27,ff96bfe1-d925-4553-94b5-bf8297adf259,232,2020-06-09,232.0,121.0,wittenlab
ibl_witten_27,2020-10-29,2021-01-19,952870e5-f2a7-4518-9e6d-71585460f6fe,189,2020-07-14,189.0,107.0,wittenlab
ibl_witten_29,2021-01-22,2021-06-08,d2832a38-27f6-452d-91d6-af72d794136c,252,2020-09-29,252.0,115.0,wittenlab
ibl_witten_32,2021-01-22,2021-07-21,08102cfc-a040-4bcf-b63c-faa0f4914a6f,295,2020-09-29,295.0,115.0,wittenlab
